timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 23:24:01.172","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:24:01.172","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:24:01.171","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:21:49.001","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:21:49.001","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:21:49.001","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:21:38.992","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:38.992","srv-prod","Ataque de fuerza bruta SSH desde 99.99.99.99","10","100050"
"Jun 30, 2026 @ 23:21:38.992","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:21:36.551","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:36.551","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:36.550","srv-prod","Ataque de fuerza bruta SSH desde 99.99.99.99","10","100050"
"Jun 30, 2026 @ 23:21:36.550","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:34.547","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:34.547","srv-prod","Ataque de fuerza bruta SSH desde 99.99.99.99","10","100050"
"Jun 30, 2026 @ 23:21:34.547","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:34.547","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:34.547","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:32.546","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:32.546","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:32.545","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:32.545","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:21:32.545","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:21:32.543","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:21:24.532","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:21:24.532","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:21:24.532","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:21:23.578","srv-prod","Wazuh server started.","3","502"
"Jun 30, 2026 @ 23:21:20.526","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:21:10.991","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 23:21:10.855","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 23:20:42.169","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:20:40.169","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:20:40.168","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:20:33.996","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:20:33.996","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:20:33.996","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:20:33.996","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:20:33.996","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:20:33.996","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:20:33.996","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:20:33.995","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:20:33.993","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:18:15.753","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:18:15.753","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:18:15.753","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:17:59.713","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:15:45.524","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:15:45.523","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:15:29.505","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:15:29.505","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:15:29.505","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:15:11.460","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:11.460","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:15:11.459","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:09.498","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:09.487","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:15:09.484","srv-prod","sshd: authentication failed.","5","5760"
